ID,n_sms,mean_happy,mean_lonely
883,10,8.3,3.0
887,7,5.142857142857143,4.1
890,16,4.0625,4.894736842105263
892,15,7.066666666666666,3.090909090909091
895,16,6.25,5.3
899,17,8.176470588235293,3.2
901,9,5.555555555555555,6.3
903,9,5.333333333333333,5.076923076923077
904,14,6.714285714285714,5.294117647058823
909,14,8.642857142857142,1.9166666666666667
916,16,6.25,2.8
919,13,6.538461538461538,4.625
921,6,7.5,6.2
922,3,8.0,9.333333333333334
925,16,7.125,5.3
926,13,6.615384615384615,2.4545454545454546
927,15,7.933333333333334,3.6923076923076925
928,12,6.166666666666667,4.6923076923076925
930,14,9.785714285714286,1.7857142857142858
931,15,5.933333333333334,5.363636363636363
934,11,6.454545454545454,2.4285714285714284
936,5,4.6,4.0
937,12,7.083333333333333,5.25
938,13,7.3076923076923075,4.363636363636363
939,13,3.0,5.777777777777778
941,12,3.4166666666666665,5.095238095238095
944,16,8.125,2.7777777777777777
946,12,6.833333333333333,4.846153846153846
947,15,5.6,2.888888888888889
948,14,8.642857142857142,1.8571428571428572
950,13,5.538461538461538,4.5
951,17,6.0588235294117645,5.8
953,18,6.444444444444445,2.8181818181818183
954,11,4.454545454545454,6.222222222222222
955,8,5.625,3.6666666666666665
956,13,7.923076923076923,3.8823529411764706
958,13,3.769230769230769,4.0
959,12,6.583333333333333,3.75
960,14,5.857142857142857,5.066666666666666
961,17,5.176470588235294,5.0
962,4,6.0,5.5
963,12,8.25,2.1
968,17,8.0,3.1666666666666665
971,9,3.4444444444444446,4.285714285714286
972,16,5.6875,5.363636363636363
974,1,5.0,
975,10,3.6,3.4375
976,15,3.533333333333333,8.133333333333333
980,13,4.3076923076923075,2.8666666666666667
983,16,8.5,3.9375
985,12,5.666666666666667,4.588235294117647
986,13,4.615384615384615,3.9375
988,9,7.333333333333333,3.2
990,15,5.2,3.909090909090909
991,1,8.0,
992,0,,
993,18,5.333333333333333,5.4
997,20,6.6,4.8
999,9,6.555555555555555,3.5789473684210527
1001,5,5.0,6.166666666666667
1004,3,6.666666666666667,2.6666666666666665
1007,7,7.714285714285714,8.166666666666666
1013,10,7.2,5.466666666666667
1014,13,8.0,2.933333333333333
1016,10,6.1,2.4545454545454546
1017,13,4.384615384615385,5.285714285714286
1018,13,7.538461538461538,3.923076923076923
1021,8,9.125,3.176470588235294
1026,14,6.285714285714286,4.5
1027,14,5.071428571428571,5.0
1028,3,6.666666666666667,5.2
1034,3,7.666666666666667,6.833333333333333
1035,13,4.769230769230769,5.071428571428571
1036,16,5.125,3.5555555555555554
1055,18,4.555555555555555,5.571428571428571
1056,12,4.5,3.3
1059,12,6.666666666666667,5.625
1063,11,8.090909090909092,4.785714285714286
1066,16,4.1875,5.142857142857143
1068,14,4.357142857142857,5.538461538461538
1069,7,5.571428571428571,6.0
1070,9,4.666666666666667,5.166666666666667
1072,11,8.545454545454545,3.235294117647059
1073,19,7.315789473684211,3.8333333333333335
1075,14,7.214285714285714,4.384615384615385
1077,19,5.947368421052632,3.875
1078,3,5.0,3.5
1079,0,,
1080,15,9.133333333333333,3.076923076923077
1084,0,,
1085,5,7.8,4.0
1088,11,7.2727272727272725,4.785714285714286
1090,16,5.9375,4.25
1091,15,7.133333333333334,2.3125
1092,12,6.916666666666667,4.75
1094,19,7.842105263157895,5.7272727272727275
1095,3,8.333333333333334,5.0
1097,11,7.181818181818182,3.066666666666667
1098,13,6.461538461538462,4.866666666666666
1099,11,7.181818181818182,4.0
1102,9,7.777777777777778,5.105263157894737
1103,15,3.6666666666666665,3.769230769230769
1104,18,6.777777777777778,3.375
1105,17,7.235294117647059,3.909090909090909
1106,15,7.666666666666667,3.466666666666667
1109,9,6.0,4.375
1110,13,5.923076923076923,5.384615384615385
1113,14,5.5,4.333333333333333
1114,10,4.4,3.2
1117,18,7.722222222222222,2.0
1118,18,6.777777777777778,4.25
1119,12,8.25,2.2142857142857144
1122,13,6.384615384615385,5.444444444444445
1123,10,5.7,6.25
1126,16,3.875,4.818181818181818
1129,14,10.0,3.076923076923077
1134,0,,
1135,13,2.3076923076923075,8.071428571428571
1136,20,7.1,3.4545454545454546
1137,11,8.0,2.9473684210526314
1139,11,6.7272727272727275,2.8666666666666667
1140,8,6.25,2.923076923076923
1142,17,5.823529411764706,5.5
1145,19,5.7368421052631575,4.916666666666667
1146,18,6.555555555555555,4.416666666666667
1147,19,5.894736842105263,4.545454545454546
1148,12,8.25,5.384615384615385
1149,13,6.923076923076923,2.909090909090909
1152,16,5.375,5.583333333333333
1154,12,8.333333333333334,3.5
1160,4,7.0,6.714285714285714
1163,2,10.0,4.857142857142857
1164,10,5.7,5.0
1166,14,6.714285714285714,4.545454545454546
1167,0,,
1168,1,4.0,7.0
1169,11,6.818181818181818,4.75
1170,17,4.882352941176471,4.090909090909091
1173,17,4.823529411764706,4.384615384615385
1174,2,4.0,
1175,11,8.090909090909092,3.076923076923077
1176,20,7.8,4.3
1177,19,2.8421052631578947,7.571428571428571
1178,11,7.454545454545454,2.5
1182,9,7.777777777777778,3.6842105263157894
1183,17,3.7058823529411766,4.5
1186,10,7.4,2.111111111111111
1191,10,5.8,3.2
1194,13,6.6923076923076925,3.8461538461538463
1196,16,6.6875,3.75
1197,13,7.076923076923077,3.6666666666666665
1199,16,6.9375,2.25
1201,12,4.75,5.9375
1204,13,9.153846153846153,2.5833333333333335
1206,7,6.857142857142857,5.571428571428571
1207,6,9.333333333333334,2.2857142857142856
1208,4,6.0,5.5
1210,13,8.615384615384615,3.4
1214,13,3.3846153846153846,7.916666666666667
1215,14,5.571428571428571,4.428571428571429
1216,13,4.3076923076923075,5.0
1218,17,5.9411764705882355,6.0
1221,8,7.75,1.7
1222,0,,
1227,16,9.1875,2.111111111111111
1228,11,8.454545454545455,3.5833333333333335
1231,15,4.733333333333333,3.0
1232,13,6.6923076923076925,4.642857142857143
1233,18,8.5,5.0
1234,11,6.909090909090909,3.357142857142857
1235,16,7.875,3.2857142857142856
1237,17,7.176470588235294,5.5
1239,18,7.166666666666667,3.888888888888889
1240,17,4.882352941176471,4.777777777777778
1243,18,5.166666666666667,4.2727272727272725
1244,5,7.2,7.4
1245,15,6.066666666666666,4.357142857142857
1247,14,8.5,2.3846153846153846
1250,12,5.166666666666667,6.111111111111111
1251,8,6.625,4.333333333333333
1257,10,8.3,4.454545454545454
1259,14,5.0,5.857142857142857
1260,13,6.769230769230769,6.411764705882353
1262,18,6.277777777777778,4.846153846153846
1265,12,7.833333333333333,4.5
1267,10,7.6,4.333333333333333
1268,12,7.083333333333333,5.2727272727272725
1269,12,6.083333333333333,1.9090909090909092
1273,11,7.363636363636363,3.625
1274,14,6.5,3.4444444444444446
1275,13,7.0,4.181818181818182
1278,20,6.6,2.9166666666666665
1279,16,7.375,4.8125
1282,13,6.615384615384615,5.142857142857143
1283,13,6.923076923076923,2.6666666666666665
1284,13,6.076923076923077,3.1
1285,1,8.0,4.25
1286,13,8.23076923076923,4.666666666666667
1288,6,6.166666666666667,3.5
1289,3,8.0,7.25
1290,16,7.6875,3.7142857142857144
1291,16,7.625,4.666666666666667
1293,20,7.4,3.25
1294,14,6.214285714285714,4.266666666666667
1296,10,6.3,4.125
1297,10,7.8,3.1176470588235294
1298,17,8.588235294117647,1.8181818181818181
1299,16,6.8125,4.285714285714286
1300,11,5.7272727272727275,1.7647058823529411
1302,9,6.777777777777778,5.916666666666667
1303,10,9.9,2.6875
1308,20,7.3,3.769230769230769
1310,13,7.0,2.7142857142857144
1311,13,4.153846153846154,6.8125
1312,6,4.0,8.0
1313,19,5.7894736842105265,3.875
1314,13,5.3076923076923075,5.625
1316,8,9.75,1.8181818181818181
1318,10,6.2,5.176470588235294
1319,3,6.666666666666667,
1322,16,3.875,4.1875
1323,13,8.692307692307692,2.8
1325,14,7.285714285714286,2.125
1327,16,7.375,3.25
1328,6,7.666666666666667,5.0
1329,15,8.466666666666667,1.6
1334,16,9.0,4.416666666666667
1336,2,4.5,7.0
1337,11,7.7272727272727275,2.1
1338,11,4.545454545454546,5.833333333333333
1340,11,5.909090909090909,5.066666666666666
1341,3,9.0,5.25
1342,12,7.5,3.0
1344,14,4.785714285714286,5.1875
1345,12,7.5,4.444444444444445
1349,11,8.090909090909092,2.3846153846153846
1350,18,5.055555555555555,3.5714285714285716
1351,8,8.625,4.0
1353,15,6.266666666666667,4.071428571428571
1354,16,4.9375,4.625
1355,14,6.714285714285714,3.3846153846153846
1356,6,6.5,6.5
1358,7,3.2857142857142856,4.2
1361,11,5.0,2.75
1363,17,6.705882352941177,5.166666666666667
1364,10,6.5,4.315789473684211
1368,16,6.125,7.222222222222222
1372,16,4.875,5.923076923076923
1373,14,7.928571428571429,3.076923076923077
1374,13,7.0,2.75
1376,3,8.666666666666666,4.666666666666667
1383,13,6.0,4.333333333333333
1385,14,5.571428571428571,3.9166666666666665
1386,10,8.0,5.705882352941177
1389,17,6.0,2.9166666666666665
1390,8,6.25,4.769230769230769
1391,11,3.6363636363636362,5.25
1392,14,4.428571428571429,4.916666666666667
1394,0,,
1398,11,3.1818181818181817,7.214285714285714
1401,10,6.7,1.8571428571428572
1402,1,6.0,6.2
1404,13,6.153846153846154,4.928571428571429
1405,12,7.833333333333333,2.272727272727273
1407,11,8.181818181818182,3.4
1408,15,4.6,4.6875
1409,12,6.666666666666667,3.5
1410,11,4.818181818181818,5.461538461538462
1414,18,7.666666666666667,3.6153846153846154
1415,12,6.833333333333333,4.642857142857143
1419,12,6.666666666666667,2.769230769230769
1421,12,8.75,2.8
1423,14,6.214285714285714,4.636363636363637
1424,8,6.625,1.8125
1432,15,7.0,5.1
1434,3,7.333333333333333,6.0
1435,12,9.0,2.7777777777777777
1440,13,6.6923076923076925,3.9285714285714284
1441,11,5.2727272727272725,5.363636363636363
1442,14,7.428571428571429,2.3
1444,11,6.636363636363637,4.538461538461538
1445,3,4.666666666666667,6.5
1449,12,5.166666666666667,6.466666666666667
1450,18,6.555555555555555,3.7857142857142856
1451,13,7.769230769230769,2.8181818181818183
1452,13,6.769230769230769,5.235294117647059
1457,13,4.769230769230769,4.666666666666667
1460,8,1.875,2.0
1461,13,8.615384615384615,2.8
1464,2,8.5,3.75
1465,9,5.888888888888889,4.454545454545454
1466,1,6.0,
1472,10,7.9,2.4615384615384617
1474,11,5.090909090909091,3.75
1475,10,4.1,4.8
1478,14,6.357142857142857,5.8
1481,19,4.947368421052632,7.4
1484,0,,10.0
1485,12,4.083333333333333,6.125
1487,11,7.818181818181818,4.769230769230769
1490,13,3.3846153846153846,6.615384615384615
1491,15,6.4,2.6666666666666665
1494,8,4.875,4.357142857142857
1495,16,8.1875,3.6666666666666665
1496,13,7.0,3.3846153846153846
1499,16,5.5,4.846153846153846
1500,5,5.6,2.625
1502,12,5.833333333333333,3.4705882352941178
1505,13,7.461538461538462,4.2727272727272725
1508,5,7.6,6.0
1512,13,6.923076923076923,4.166666666666667
1514,17,7.882352941176471,2.2857142857142856
1515,16,7.75,3.5454545454545454
1518,9,4.555555555555555,5.714285714285714
1519,16,7.3125,3.466666666666667
1520,11,5.454545454545454,4.0
1522,8,5.625,1.75
1523,9,5.111111111111111,5.375
1526,19,6.368421052631579,3.111111111111111
1532,10,7.4,6.5
1534,17,6.705882352941177,4.333333333333333
1535,16,7.3125,4.125
1536,12,5.916666666666667,5.636363636363637
1539,12,3.9166666666666665,5.416666666666667
1540,17,4.352941176470588,5.125
1541,10,7.6,8.266666666666667
1544,16,5.8125,3.25
1545,14,6.5,3.3636363636363638
1546,0,,
1548,12,5.25,1.7857142857142858
