id,wta_change_code1,wta_change_code2,wta_change_code3,startdate,fbhrs_iphone_success,battery_days,fbhrs_battery,fbhrs_nonbattery,fbhrs_noapp,autom_reac,apps_less_use
571,,,,06/12/2018 14:46,,,,5.0,,No,ANONYMIZED
572,,,,03/12/2018 08:07,Yes,Last 7 days,0,,,No,ANONYMIZED
573,,,,04/12/2018 07:33,,,,3.0,,Yes,ANONYMIZED
574,,,,03/12/2018 08:16,,,,15.0,,No,ANONYMIZED
576,,,,03/12/2018 12:16,Yes,Last 10 days,13 hrs,,,No,ANONYMIZED
578,,,,03/12/2018 07:52,,,,,1.0,Yes,ANONYMIZED
582,Strategic BDM,,,04/12/2018 15:06,Yes,Last 7 days,3 hrs and 37 min,,,No,ANONYMIZED
586,,,,03/12/2018 09:49,,,,,14.0,No,ANONYMIZED
588,Other,,,03/12/2018 12:29,Yes,Last 2 days,14 minutes,,,No,ANONYMIZED
592,Time shock,,,06/12/2018 10:27,,,,7.0,,No,ANONYMIZED
595,,,,03/12/2018 08:51,Yes,Last day,1hr and 42 min,,,Yes,ANONYMIZED
598,Other,,,03/12/2018 10:38,,,,,0.5,No,ANONYMIZED
600,,,,03/12/2018 08:13,Yes,Last 10 days,2hrs and 18 min,,,No,ANONYMIZED
601,Strategic BDM,Anchoring,,05/12/2018 13:31,,,,5.0,,Yes,ANONYMIZED
602,,,,03/12/2018 08:00,,,,,1.0,No,ANONYMIZED
607,Misunderst. 4vs8 wks,Strategic BDM,Anchoring,03/12/2018 12:38,,,,12.0,,,ANONYMIZED
608,,,,03/12/2018 11:15,Yes,Last 10 days,3 hours 14 minutes,,,No,ANONYMIZED
609,Other,,,03/12/2018 18:28,Yes,Last 10 days,1 minute ,,,Yes,ANONYMIZED
611,Time shock,,,03/12/2018 07:55,Yes,Last day,5 hours and 2 minutes,,,No,ANONYMIZED
612,Convex cost,Misunderst. 4vs8 wks,,03/12/2018 10:54,Yes,Last 10 days,13 hrs 13 m,,,,ANONYMIZED
614,,,,03/12/2018 08:24,Yes,Last 10 days,4 hrs and 44 min,,,No,ANONYMIZED
616,Other,,,03/12/2018 23:19,Yes,Last 10 days,7 hrs and 47m,,,No,ANONYMIZED
619,,,,03/12/2018 07:58,,,,4.0,,,ANONYMIZED
621,,,,06/12/2018 11:42,,,,,14.0,No,ANONYMIZED
622,,,,06/12/2018 16:12,Yes,Last 10 days,5 hrs 15 min,,,No,ANONYMIZED
624,Strategic BDM,,,03/12/2018 09:21,,,,6.0,,Yes,ANONYMIZED
625,Time shock,,,03/12/2018 08:03,,,,,7.0,No,ANONYMIZED
633,Convex cost,,,03/12/2018 07:56,Yes,Last 10 days,34 hr 19 min,,,,ANONYMIZED
639,,,,03/12/2018 08:56,,,,,7.0,No,ANONYMIZED
648,Other,Anchoring,,08/12/2018 20:49,,,,,3.0,No,ANONYMIZED
651,Other,,,04/12/2018 06:55,,,,,8.0,No,ANONYMIZED
652,,,,03/12/2018 07:53,,,,30.0,,No,ANONYMIZED
654,Time shock,,,04/12/2018 16:04,,,,6.0,,Yes,ANONYMIZED
657,,,,03/12/2018 11:51,Yes,Last 10 days,3h 13m,,,No,ANONYMIZED
658,Convex cost,,,03/12/2018 11:16,Yes,Last 5 days,54 min,,,No,ANONYMIZED
660,,,,03/12/2018 07:55,,,,,5.0,Yes,ANONYMIZED
666,,,,03/12/2018 16:03,Yes,Last 10 days,15hrs and 47 minutes,,,No,ANONYMIZED
667,,,,04/12/2018 19:29,,,,20.0,,Yes,ANONYMIZED
671,Strategic BDM,,,04/12/2018 13:30,,,,,2.0,No,ANONYMIZED
672,,,,03/12/2018 23:22,Yes,Last 7 days,13.1,,,,ANONYMIZED
674,Other,,,03/12/2018 10:42,,,,,8.0,No,ANONYMIZED
680,Strategic BDM,Anchoring,,04/12/2018 15:07,,,,90.0,,,ANONYMIZED
681,Other,,,04/12/2018 17:00,,,,48.0,,Yes,ANONYMIZED
684,Strategic BDM,Anchoring,,03/12/2018 10:08,,,,7.0,,No,ANONYMIZED
685,Strategic BDM,Anchoring,,03/12/2018 08:19,,,,,5.0,Yes,ANONYMIZED
687,Strategic BDM,Anchoring,,03/12/2018 19:15,Yes,Last 7 days,2 min,,,No,ANONYMIZED
689,Anchoring,Strategic BDM,,03/12/2018 08:31,Yes,Last 10 days,2 hrs and 19 min,,,,ANONYMIZED
692,,,,03/12/2018 14:01,,,,,3.0,No,ANONYMIZED
693,,,,03/12/2018 11:11,Yes,Last 10 days,6 hrs and 36 minutes,,,Yes,ANONYMIZED
